task_id,query,lang,complexity,mode,gold_doc_id,top_k,rerank_k,num_passages,retrieved_doc_ids,answer,gc,refusal,cost,orch_ms,input_tokens,output_tokens
en_maori_language_q1,[EN] What act gave Māori language official status in New Zealand?,en,simple,uniform,en_maori_language,5,5,5,"['en_maori_language', 'en_treaty_of_waitangi', 'en_matariki', 'en_kea', 'en_agathis_australis']",The **Māori Language Act 1987** gave Māori language official status in New Zealand [Passage 1]. This act provided recognition of te reo Māori as one of New Zealand's official languages.,1.0,False,0.003333,222.55992889404297,861,50
en_matariki_q1,[EN] What star cluster is Matariki?,en,simple,uniform,en_matariki,5,5,5,"['en_matariki', 'en_new_zealand', 'en_kea', 'en_kaka', 'en_mount_tongariro']","Matariki is the Pleiades star cluster [Passage 1]. In Māori culture, it is celebrated when it first rises in late June or early July, marking the beginning of the new year in the Māori lunar calendar [Passage 1].",1.0,False,0.003294,14.595270156860352,793,61
en_marae_q1,[EN] What is a marae in Polynesian societies?,en,simple,uniform,en_marae,5,5,5,"['en_marae', 'en_united_states', 'en_maori_language', 'en_taupo', 'en_kea']","A marae is a communal or sacred place that serves religious and social purposes in Polynesian societies [Passage 1]. It generally consists of an area of cleared land, roughly rectangular in shape, bordered with stones or wooden posts, and may include terraces (paepae) traditionally used for ceremonial purposes [Passage 1].",1.0,False,0.003423,28.591156005859375,771,74
en_mount_tongariro_q1,[EN] In which volcanic zone is Mount Tongariro located?,en,simple,uniform,en_mount_tongariro,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_marae', 'en_new_zealand', 'en_maori_language']",Mount Tongariro is located in the **Taupō Volcanic Zone** of the North Island of New Zealand [Passage 1]. It is the northernmost of three active volcanoes in the central North Island and is situated 20 km southwest of Lake Taupō [Passage 1].,1.0,False,0.003693,21.01922035217285,881,70
en_moa_q1,[EN] What type of birds were moa?,en,simple,uniform,en_moa,5,5,5,"['en_moa', 'en_kaka', 'en_muturangi', 'en_marae', 'en_mount_tongariro']",Moa were flightless birds that were endemic to New Zealand [Passage 1]. They belonged to the order Dinornithiformes and included nine species ranging in size from turkey-sized bush moa to the giant Dinornis species that could reach 3.6 metres in height [Passage 1]. They are now extinct [Passage 1].,1.0,False,0.003675,30.643939971923828,810,83
en_kaka_q1,[EN] What is the scientific name of the New Zealand kākā?,en,simple,uniform,en_kaka,5,5,5,"['en_kaka', 'en_new_zealand', 'en_treaty_of_waitangi', 'en_matariki', 'en_marae']",The scientific name of the New Zealand kākā is **Nestor meridionalis** [Passage 1]. This large parrot species belongs to the family Strigopidae and is found in New Zealand's native forests.,1.0,False,0.0031349999999999998,22.813081741333008,785,52
en_kakapo_q1,[EN] Can the kākāpō fly?,en,simple,uniform,en_kakapo,5,5,5,"['en_kakapo', 'en_taupo', 'en_agathis_australis', 'en_moa', 'en_kaka']","No, the kākāpō cannot fly. It is the world's only flightless parrot, with relatively short wings that do not enable flight [Passage 1]. This flightlessness, combined with being the world's heaviest parrot, makes it a unique ground-dwelling species [Passage 1].",1.0,False,0.004104,18.00394058227539,1008,72
en_muturangi_q1,[EN] What is the name of Muturangis octopus guardian spirit?,en,simple,uniform,en_muturangi,5,5,5,"['en_kaka', 'en_muturangi', 'en_new_zealand', 'en_mount_tongariro', 'en_kea']","According to [Passage 2], Muturangi's octopus guardian spirit is named **Te Wheke-a-Muturangi**, which means ""the Octopus of Muturangi."" This giant octopus served as Muturangi's familiar or kaitiaki (guardian spirit), and was said to have been followed by others to reach New Zealand.",1.0,False,0.003768,15.241861343383789,806,90
en_taupo_q1,[EN] What type of lake is Lake Taupō?,en,simple,uniform,en_taupo,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_kaka', 'en_new_zealand', 'en_kea']","Based on the provided passages, Lake Taupō is a **freshwater lake** [Passage 2]. The passage also notes that it is the largest freshwater lake in New Zealand and is located in the central North Island.",1.0,False,0.003297,21.525859832763672,844,51
en_new_zealand_q1,[EN] In which ocean is New Zealand located?,en,simple,uniform,en_new_zealand,5,5,5,"['en_kaka', 'en_marae', 'en_new_zealand', 'en_taupo', 'en_maori_language']","New Zealand is located in the **Pacific Ocean**, specifically in the southwestern Pacific Ocean [Passage 3]. It lies east of Australia across the Tasman Sea and south of islands like New Caledonia, Fiji, and Tonga [Passage 3].",1.0,False,0.0031260000000000003,12.803077697753906,742,60
en_kea_q1,"[EN] What conflict with pastoral farming prompted systematic killing of this parrot, and what later legal protection (name and year) reversed its status?",en,complex,uniform,en_kea,5,5,5,"['en_kea', 'en_kaka', 'en_kakapo', 'en_united_states', 'en_taupo']","Based on the passages provided, the conflict with pastoral farming was **concern by sheep farmers that the kea attacked livestock, especially sheep**, which prompted systematic killing of this parrot through a bounty system [Passage 1]. The legal protection that reversed its status was **absolute protection under the Wildlife Act in 1986** [Passage 1].",1.0,False,0.0037470000000000003,18.42808723449707,874,75
en_agathis_australis_q1,"[EN] Why might a forest be called 'kauri forest' even when kauri isn't the most abundant tree, and what ecosystem-engineering effect of kauri explains this naming?",en,complex,uniform,en_agathis_australis,5,5,5,"['en_agathis_australis', 'en_moa', 'en_kaka', 'en_united_states', 'en_new_zealand']","Based on the passages, a forest might be called 'kauri forest' even when kauri isn't the most abundant tree because kauri is ""such a conspicuous species"" - meaning it's highly visible and distinctive in the forest landscape [Passage 1]. The ecosystem-engineering effect that explains this naming is kauri's ""podsolization capability,"" which allows it to modify the soil under its canopy to create unique conditions, essentially acting as a ""foundation species"" that transforms its environment [Passage 1]. This soil-altering ability gives kauri a disproportionate influence on the forest ecosystem relative to its abundance.",1.0,False,0.004575,17.0590877532959,845,136
en_treaty_of_waitangi_q1,"[EN] Given that the treatys legal standing is contested and not directly enacted in domestic statute, what uncertainty does this create around sovereignty, and when and by whom was the agreement first signed?",en,complex,uniform,en_treaty_of_waitangi,5,5,5,"['en_treaty_of_waitangi', 'en_kea', 'en_agathis_australis', 'en_kaka', 'en_north_america']","Based on the passages provided, the Treaty's contested legal standing creates significant uncertainty around **whether Māori ceded sovereignty to the Crown in 1840, and if so, whether such sovereignty remains intact** [Passage 1]. 

The Treaty of Waitangi was **first signed on 6 February 1840 by Captain William Hobson** (acting as consul for the British Crown) **and by Māori chiefs (rangatira)** from the North Island of New Zealand [Passage 1]. The passage notes that while the Treaty is not incorporated as binding domestic law, its status at international law remains debated, contributing to this ongoing uncertainty about sovereignty.",1.0,False,0.0049169999999999995,18.065929412841797,904,147
en_united_states_q1,"[EN] In terms of global standing, how does this country rank both by land area and by population, and roughly how many people live there?",en,complex,uniform,en_united_states,5,5,5,"['en_united_states', 'en_north_america', 'en_new_zealand', 'en_treaty_of_waitangi', 'en_kaka']","Based on the passages provided, the United States ranks as the **third-largest country by both land area and population globally, with a population exceeding 340 million people** [Passage 1].

The passage specifically states that the United States ""is a megadiverse country, with the world's third-largest land area and third-largest population, exceeding 340 million"" [Passage 1].",1.0,False,0.0038730000000000006,12.674093246459961,836,91
en_north_america_q1,"[EN] Summarize this continents scale and global share, then state its comparative rank by size and by population.",en,complex,uniform,en_north_america,5,5,5,"['en_north_america', 'en_kaka', 'en_kea', 'en_new_zealand', 'en_treaty_of_waitangi']","Based on the passages provided, I can answer this question about North America:

**Scale and Global Share:** North America covers approximately 24,709,000 square kilometers (9,540,000 square miles), representing about 16.5% of Earth's land area and 4.8% of its total surface area, with a population of over 592 million people (about 7.5% of the world's population as of 2021). [Passage 1]

**Comparative Rankings:** North America is the third-largest continent by size (after Asia and Africa) and the fourth-largest continent by population (after Asia, Africa, and Europe). [Passage 1]",1.0,False,0.004685999999999999,19.082069396972656,812,150
mi_matariki_q1,[MI] He aha a Matariki?,mi,simple,uniform,mi_matariki,5,5,5,"['mi_tongariro', 'mi_taupo', 'mi_reo_maori', 'mi_muturangi', 'mi_aotearoa']","Kāore ngā kōrero mō Matariki i roto i ngā tuhinga kua homai. Ko ngā tuhinga nei e kōrero ana mō Tongariro maunga, mō Taupō-moana, me te reo Māori, engari kāore he kōrero mō Matariki, arā te kāhui whetū me ōna tikanga.",0.0,False,0.004782,15.807151794433594,1069,105
mi_marae_q1,[MI] He aha te marae?,mi,simple,uniform,mi_marae,5,5,5,"['mi_tongariro', 'mi_kea', 'mi_taupo', 'mi_moa', 'mi_reo_maori']","Kāore ngā kōrero i roto i ngā whiti e pā ana ki te marae. Ko ngā whiti e kōrero ana mō te maunga o Tongariro [Passage 1], te manu kea [Passage 2], me te moana o Taupō [Passage 3]. Kāore he kōrero mō te marae i roto i ēnei whiti.",0.0,False,0.0043890000000000005,18.320083618164062,933,106
mi_tongariro_q1,[MI] He aha te teitei o Tongariro?,mi,simple,uniform,mi_tongariro,5,5,5,"['mi_tongariro', 'mi_kea', 'mi_taupo', 'mi_moa', 'mi_reo_maori']","Ko te teitei o Tongariro, e 1,978 mita [Passage 1].",1.0,False,0.0032370000000000003,16.157150268554688,939,28
mi_moa_q1,[MI] He aha te āhua o ngā parirau o te moa?,mi,simple,uniform,mi_moa,5,5,5,"['mi_moa', 'mi_kea', 'mi_tongariro', 'mi_amerika_ki_te_raki', 'mi_reo_maori']","I te [Passage 1], ka kōrero mō te āhua o ngā parirau o te moa: **kāore kau ō rātou parirau** - kāore he parirau o te moa. Ko tēnei te tino tohu o te moa, ahakoa he parirau itiiti ō ētahi atu manu āhua whanaunga ana, pērā ki te Kiwi.",1.0,False,0.004533,14.533042907714844,956,111
mi_kea_q1,[MI] He aha te ingoa pūtaiao o te Kea?,mi,simple,uniform,mi_kea,5,5,5,"['mi_kea', 'mi_kaka', 'mi_tongariro', 'mi_taupo', 'mi_moa']",Ko te ingoa pūtaiao o te Kea ko **Nestor notabilis** [Passage 1].,1.0,False,0.0036989999999999996,19.41514015197754,1073,32
