mode,metric,baseline,embeddings,absolute_improvement,relative_improvement_pct
uniform,Overall,0.8,0.8333333333333334,0.033333333333333326,4.166666666666666
uniform,English,1.0,1.0,0.0,0.0
uniform,Māori,0.6,0.6666666666666666,0.06666666666666665,11.111111111111109
uniform,Fairness Gap (EN-MI),0.4,0.33333333333333337,-0.06666666666666665,16.666666666666664
language_aware,Overall,0.8,0.8333333333333334,0.033333333333333326,4.166666666666666
language_aware,English,1.0,1.0,0.0,0.0
language_aware,Māori,0.6,0.6666666666666666,0.06666666666666665,11.111111111111109
language_aware,Fairness Gap (EN-MI),0.4,0.33333333333333337,-0.06666666666666665,16.666666666666664
fairness_aware,Overall,0.8,0.8333333333333334,0.033333333333333326,4.166666666666666
fairness_aware,English,1.0,1.0,0.0,0.0
fairness_aware,Māori,0.6,0.6666666666666666,0.06666666666666665,11.111111111111109
fairness_aware,Fairness Gap (EN-MI),0.4,0.33333333333333337,-0.06666666666666665,16.666666666666664
