id,lang,complexity,mode,top_k,gc,cost,refusal,lat_orch_ms,lat_llm_ms,lat_total_ms,input_tokens,output_tokens,answer_length,num_citations
en_maori_language_q1,en,simple,uniform,5,1.0,0.0032040000000000003,False,1108.534812927246,3135.1099014282227,4243.644714355469,818,50,185,1
en_matariki_q1,en,simple,uniform,5,1.0,0.0045179999999999994,False,110.47816276550293,3112.082004547119,3222.560167312622,1171,67,231,2
en_marae_q1,en,simple,uniform,5,1.0,0.005489999999999999,False,124.1447925567627,3828.434944152832,3952.5797367095947,1310,104,444,1
en_mount_tongariro_q1,en,simple,uniform,5,1.0,0.003654,False,130.45501708984375,3312.697172164917,3443.1521892547607,868,70,241,1
en_moa_q1,en,simple,uniform,5,1.0,0.004305,False,115.70310592651367,3887.2458934783936,4002.948999404907,1000,87,304,1
en_kaka_q1,en,simple,uniform,5,1.0,0.0028590000000000004,False,100.63314437866211,3165.9557819366455,3266.5889263153076,813,28,83,1
en_kakapo_q1,en,simple,uniform,5,1.0,0.0037860000000000003,False,132.15994834899902,3139.2669677734375,3271.4269161224365,952,62,221,1
en_muturangi_q1,en,simple,uniform,5,1.0,0.004491,False,280.6856632232666,3671.0562705993652,3951.741933822632,982,103,321,1
en_taupo_q1,en,simple,uniform,5,1.0,0.0041670000000000006,False,150.43091773986816,3918.1272983551025,4068.5582160949707,934,91,330,2
en_new_zealand_q1,en,simple,uniform,5,1.0,0.0027630000000000003,False,112.84375190734863,2393.0881023406982,2505.931854248047,791,26,108,1
en_kea_q1,en,complex,uniform,5,1.0,0.003978000000000001,False,237.50019073486328,4043.734073638916,4281.234264373779,901,85,375,1
en_agathis_australis_q1,en,complex,uniform,5,1.0,0.0043560000000000005,False,181.2729835510254,3413.532018661499,3594.8050022125244,992,92,402,1
en_treaty_of_waitangi_q1,en,complex,uniform,5,1.0,0.005514000000000001,False,195.40023803710938,4383.686065673828,4579.0863037109375,1123,143,656,1
en_united_states_q1,en,complex,uniform,5,1.0,0.0036509999999999997,False,163.24782371520996,3585.4289531707764,3748.6767768859863,842,75,318,1
en_north_america_q1,en,complex,uniform,5,1.0,0.004338,False,133.26382637023926,3410.482883453369,3543.7467098236084,856,118,435,1
mi_matariki_q1,mi,simple,uniform,5,1.0,0.005724,False,117.2490119934082,5012.063026428223,5129.312038421631,1158,150,347,1
mi_marae_q1,mi,simple,uniform,5,1.0,0.006033,False,119.72880363464355,3291.759967803955,3411.4887714385986,1481,106,225,1
mi_tongariro_q1,mi,simple,uniform,5,1.0,0.004299000000000001,False,98.63877296447754,2790.9669876098633,2889.605760574341,1293,28,51,1
mi_moa_q1,mi,simple,uniform,5,1.0,0.004992,False,107.36417770385742,3986.2170219421387,4093.581199645996,1104,112,231,1
mi_kea_q1,mi,simple,uniform,5,1.0,0.004854000000000001,False,115.51475524902344,2414.207935333252,2529.7226905822754,1458,32,65,1
mi_kauri_q1,mi,simple,uniform,5,1.0,0.005529,False,110.02993583679199,3790.482759475708,3900.5126953125,1458,77,163,1
mi_kaka_q1,mi,simple,uniform,5,0.0,0.0064919999999999995,False,102.39100456237793,5326.1168003082275,5428.5078048706055,1459,141,285,1
mi_kakapo_q1,mi,simple,uniform,5,1.0,0.00594,False,104.83098030090332,13000.550985336304,13105.381965637207,1455,105,209,1
mi_muturangi_q1,mi,simple,uniform,5,1.0,0.0049830000000000004,False,106.90903663635254,4501.065969467163,4607.975006103516,1231,86,183,1
mi_taupo_q1,mi,simple,uniform,5,0.0,0.005988,False,125.08487701416016,6429.991245269775,6555.076122283936,1326,134,290,0
mi_aotearoa_q1,mi,simple,uniform,5,1.0,0.006237,False,101.25994682312012,3613.0881309509277,3714.348077774048,1469,122,240,1
mi_reo_maori_q1,mi,complex,uniform,5,1.0,0.006272999999999999,False,265.08593559265137,5849.951982498169,6115.03791809082,1341,150,336,1
mi_te_tiriti_o_waitangi_q1,mi,complex,uniform,5,0.0,0.005985,False,228.69515419006348,5964.574098587036,6193.2692527771,1290,141,297,0
mi_united_states_q1,mi,complex,uniform,5,0.0,0.005631000000000001,False,199.83911514282227,4086.9998931884766,4286.839008331299,1227,130,288,1
mi_amerika_ki_te_raki_q1,mi,complex,uniform,5,0.0,0.006444,False,222.12505340576172,5271.231889724731,5493.356943130493,1398,150,315,1
en_maori_language_q1,en,simple,language_aware,5,1.0,0.0032040000000000003,False,132.70807266235352,2714.961290359497,2847.6693630218506,818,50,185,1
en_matariki_q1,en,simple,language_aware,5,1.0,0.0045179999999999994,False,91.31598472595215,3283.75506401062,3375.0710487365723,1171,67,231,2
en_marae_q1,en,simple,language_aware,5,1.0,0.005489999999999999,False,111.63902282714844,3471.3311195373535,3582.970142364502,1310,104,444,1
