mode,slice,gc_mean,gc_std,gc_count,cost_mean,top_k_first
fairness_aware,EN-complex,1.0,0.0,5,0.004,8
fairness_aware,EN-simple,1.0,0.0,10,0.0039,5
fairness_aware,MI-complex,0.75,0.5,4,0.0061,8
fairness_aware,MI-simple,0.8182,0.4045,11,0.0056,8
language_aware,EN-complex,1.0,0.0,5,0.004,5
language_aware,EN-simple,1.0,0.0,10,0.0039,5
language_aware,MI-complex,0.75,0.5,4,0.0061,8
language_aware,MI-simple,0.8182,0.4045,11,0.0056,8
uniform,EN-complex,1.0,0.0,5,0.004,5
uniform,EN-simple,1.0,0.0,10,0.0039,5
uniform,MI-complex,0.75,0.5,4,0.0061,5
uniform,MI-simple,0.8182,0.4045,11,0.0056,5
